field,type,field_id,status,group,populated,blank,unique,publisher_default,action,top_values
prior_class_group_idv2,number,fldRsdoFABvq12gsT,blank_in_pro,blank,0,58,0,no,not populated in current PRO rows,
rollup_entries,rollup,fldb6FfissLzxaMCl,derived_display_or_filter,derived,0,58,0,yes,rollup/display helper; not independent truth,
rollup_trips,rollup,fld2MxgtkwTXQ1sSb,derived_display_or_filter,derived,0,58,0,yes,rollup/display helper; not independent truth,
rollup_horses,rollup,fldXr0jRyRefCOrdb,derived_display_or_filter,derived,15,43,12,yes,rollup/display helper; not independent truth,Fento|Indy|Jason|Munster (2) | Ranger|Tommy (2)
firstup,checkbox,fld1YxwSdATwCPorT,blank_in_pro,blank,0,58,0,no,not populated in current PRO rows,
expected_first,formula,fld8wtzF9jtEOW6A7,derived_display_or_filter,derived,58,0,1,no,derived from other fields; not independent truth,"{""error"":""#ERROR!""} (58)"
expected_second,formula,fldExtEsqa4wphJIi,derived_display_or_filter,derived,58,0,1,no,derived from other fields; not independent truth,"{""error"":""#ERROR!""} (58)"
shows,multipleRecordLinks,fldcFcbCSO6pS2pQp,relationship_link,link,58,0,1,no,relationship field; not a scalar truth value,recqX2PPTCVTx329X (58)
mode (from heartbeat),multipleLookupValues,fldFeQoFKA0yTwyBV,source_evidence,evidence,0,58,0,no,source/lookup evidence only,
full_schedule_endpoint,formula,fldSsb776mkKCYhXA,source_evidence,evidence,58,0,1,no,source/lookup evidence only,https://broad-tooth-b8ed.gombcg.workers.dev/schedule?date=&show_id=200000061&customer_id=15 (58)
isFirstUp,formula,fld0nNT6yJ4g1rRE5,derived_display_or_filter,derived,9,49,1,no,derived from other fields; not independent truth,true (9)
time_sort,formula,fldYt5r7uiSv6Eg8R,operational_control,operation,58,0,42,no,runner/control/audit field,27900 (3) | 32700 (2)
class_type,singleLineText,fldxZrmEeUa1mMxRd,value_of_truth,class_type,58,0,3,yes,keep as canonical PRO field,Hunters (22) | Equitation (19)
oog_endpoint,formula,fldBweI3f9jGY2KRp,source_evidence,evidence,58,0,1,no,source/lookup evidence only,https://sglapi.wellingtoninternational.com/classsignup/200020693?eid=200020693&show_id=200000053&customer_id=15 (58)
class_alerts,multipleRecordLinks,fld7Mk79GKZoC800o,relationship_link,link,14,44,14,no,relationship field; not a scalar truth value,recY37uLQPaVSkQBy (1) | recf8RuYnpTLQI0qB|reckwfyAH2bEOKeVr (1)
app_sql_date,formula,fldS9Sw0GxLO06hXH,inactive_duplicate_or_lookup,date,0,58,0,yes,do not use as independent truth; compare to schedule_show_datev2,
heartbeat,multipleRecordLinks,fldp1qJhWITiLueqo,relationship_link,link,0,58,0,no,relationship field; not a scalar truth value,
app_dow_raw,formula,fldIB2rUUGJZb9nMW,derived_display_or_filter,derived,0,58,0,no,derived from other fields; not independent truth,
shifted_to_next_day,formula,fldW3L4anINTJOnc4,derived_display_or_filter,derived,0,58,0,no,derived from other fields; not independent truth,
class_types,multipleRecordLinks,fldvkz1Hc5ZlwUonO,relationship_link,link,58,0,3,no,relationship field; not a scalar truth value,recoqzxmHIXuqCfjs (22) | recvjjM6bNgbUV5zX (19)
watch_rings_uid,formula,fld6l45Dmdd4p9kmF,relationship_link,link,58,0,5,no,relationship field; not a scalar truth value,200000061||5 (20) | 200000061||6 (13)
watch_rings,multipleRecordLinks,fldUZAWZHQf1NSZ2W,relationship_link,link,58,0,5,no,relationship field; not a scalar truth value,recjhB1YXqJ4AjBSM (20) | reckSRGNFLlLRcF6K (13)
run_time (from watch_rings),multipleLookupValues,fldayJ5c3OwR1zij0,source_evidence,lookup,58,0,1,no,lookup evidence only,2026-05-11T16:45:48.115Z (58)
next_group_id (from watch_rings),multipleLookupValues,fldnCJ324I4kK9pSe,source_evidence,lookup,0,58,0,no,lookup evidence only,
focusTargetGroupId,number,fldeQmHQokKCAMNWs,blank_in_pro,blank,0,58,0,no,not populated in current PRO rows,
immediatePriorGroupId,number,fld7h9HEb0vAUuH9z,blank_in_pro,blank,0,58,0,no,not populated in current PRO rows,
diif,checkbox,flddIxFDYI8ULcJCU,blank_in_pro,blank,0,58,0,no,not populated in current PRO rows,
8778_sched_display,rollup,fldKa0XjhHeyepGo8,derived_display_or_filter,derived,15,43,15,no,rollup/display helper; not independent truth,King (2) (1) | Choco (9) (1)
8778_group_display,rollup,flduQStzelygxkoUa,derived_display_or_filter,derived,15,43,15,no,rollup/display helper; not independent truth,King (2) (1) | Choco (9) (1)
8778_group_alert,rollup,fldjzoWwlnD3U8KPG,derived_display_or_filter,derived,15,43,15,no,rollup/display helper; not independent truth,King (2) (1) | Choco (9) (1)
40362_group_display,rollup,fld0E25cC84T3HvjA,derived_display_or_filter,derived,0,58,0,no,rollup/display helper; not independent truth,
trip_logs,multipleRecordLinks,fldpIttRHce0GLspl,relationship_link,link,15,43,15,no,relationship field; not a scalar truth value,recPl6cmTzaFGnC0W|recJVrJr42xY6Jo6g|recuxtFrRcsixXpuj|recpAXvnok8sIHMPt|recHq2RWlY6Btodc4|recZWAiQMCcf37r0K|recQLVMguh7nIjw0l|rec7zj4PDysF2BKA5|recekl7GkeXVBcK5Q|recCI9dnGELS6Qn3a|rechGj23TURyPipdu|recNBGbRjZGFtBjaG|recoZKr2tjKlPHIXI|recRW91DkDahJJEMc|recO58ozx8hPyULjx|recZRUKY80Ibn4xke|recHYw0lXEOkxkJmY|recEjr7k4k2ikL7KL|recJ0Q772s00GbNN3|recL8TJV3pSyAZFvR|rec9Y473xfG9a089F|rech34m79LlX9qkMr|recH0tw72EVIv6yia|recsJq0RlBCnH7wNY|recBAzyCrOh4QwEDF|recPiGaDMTL3dYs0C|recRjWZs9g3OrIQer|recrhufxl5F1MHnth|recWtJFsoC40k3HBw|recDSeToFKeHsLzA0|reciaFJqfJPPVyM8V|recZ1YqI7Rtsa1IC7|rec6awJqICopTQu5d|rec8K40Nf4BJBY2Yw|recRplqUGN4ImBmwk|recDZCXuxmRJJlOOJ|recu9ySm7FC5DQw5F|rec8DiXWsg3mUuesq|recafq5FyHebTwg3g|recocEo4wAaHTQuPz|recDEd3WtnqnvrvmC|recGlNeZWa8tpy42n|reczPrPLAwUcjnFEZ|recLJRZFNb5LwUR4E|reclJmsrRBNTd7cs0|rec32LbHPb6SlrcaH|recaBm5E8pnXieitY|recdPFNZZxpRxUQLQ|recJPuUpQtihWUKOx|recmIP4qUL1M1O4xw|reckuBXaNDUQN7dPJ|rec1szrObmerew1GX (1) | rec8vSV3MjA6o4W5b|recL8GnFvwUkG9zzd|rec8jbX8nLqZMgjHH|recwEu8L2gHcWBI6T|recKCCsHbsF9msEyf|recVzAjsejJ6LKjcI|recZzfVTdj3Hf9zES|recQ6TQTAueaY4ziV|recCkhdXS0fdUuzQ8|recqr4IM6qi27sdKk|recutcBNUeFZKJYmp|recigSZ3zDFQUcCL5|recCK0EJPsKHEhlMF|recBIBJrR3rUYCF5p|recfT5jRcdBBLQbpB|recZcT4GsfIYju5jl|recM9qHiAMhpDGpx9|rec2svQZtxBnxEoWr|recISN0TBJc0LEJlD|rec9YJpcasQ4dEldV|recAwang3zyvgG6aa|recdI4hFRWDUjGO5c|reckFWl6afjzvNcKb|rec27o5Z7q1VJSPdr|recDG8YWD7PjXkbHa|recc6OcxqYG5DQDuI|reclBPMuzfdSOAFmR|recKSFx7zSrSHfrjR|recXMWF6n3nBzSvHX|recfZAlWGIR9QXILe|recYNwfTcV6mAZ27p|recKTdKnTwXeTZrCT|recACFYx0cgb1uCk8|recuqF4lAIrnpewPw|rec77o3JxL9yLD15Z|recfVUGTAhqpB8vry|recAkDcofOfXh2jji|rec6CAYId5a91uf4N|recfISzyaVzh1LTyN|rec9rFOH0DXhomlsG|recCG1naBWAPjAD8I|recg5Zpy78L5nZM69|rec9HQL6XY0UGgo1L|reczE3A7mxG9iPRTX|recX9D5nAmXDB0tth|reclEHoXFr2njeC2T|recR6JGUhPA2QKCgu|recRMRNIFGNX0scoz|rec6xVj0ck6kp4MKt|reczu2PYBq2NyrRuq|recZNbm9v0ceM0y2J|recYhENUlgxJKDWg2|recSV8gsOg6ISFvED|receo1Ezp5QmyyhBm|recURH7gmKTIijyKG|recSAkd7Xkxh4qjdL|recfotJRVGxuf4v1J|recysUqCToz2jimyW|recA86UYysy8hvCac|recDbWJEwFVBo6sxn|rec7hj2slasHOz15H|recZ8neIXWaYi7k1h|recMeTqYlhb5EeusC|recrS7NYPIrqvrKLc (1)
class_sequences,multipleRecordLinks,fldLkyHw9R4JhgxX9,relationship_link,link,0,58,0,no,relationship field; not a scalar truth value,
is_handy,formula,flddw3gaT2T1yo9Vj,derived_display_or_filter,derived,0,58,0,no,derived from other fields; not independent truth,
is_warmup,formula,fldDHIq2nkmH3rZz9,derived_display_or_filter,derived,0,58,0,no,derived from other fields; not independent truth,
is_mulligan,formula,fldySknRFZPpjIUGY,derived_display_or_filter,derived,0,58,0,no,derived from other fields; not independent truth,
is_schooling_pony,formula,fldSftr3BvqKqIjmm,derived_display_or_filter,derived,0,58,0,no,derived from other fields; not independent truth,
is_add_back,formula,fld4ilWb33v7KFnsd,derived_display_or_filter,derived,0,58,0,no,derived from other fields; not independent truth,
entry_sequence,number,fldOFDlMQ3FIZBMhC,value_of_truth,entry_sequence,58,0,2,no,keep as canonical PRO field,1 (51) | 5 (7)
is_target,checkbox,fldYVItS0aJebUH7y,value_of_truth,target,58,0,1,no,keep as canonical PRO field,true (58)
targets_last_at,singleLineText,fld4uymnfnO8Y9EdK,operational_control,operation,58,0,1,no,runner/control/audit field,2026-05-11T16:51:21.478Z (58)
group_name_tags,multilineText,fldNBreH0T5EKlzGt,value_of_truth,group_tags,58,0,43,yes,keep as canonical PRO field,"target, amateur, junior, jumpers, Over Fences (2) | target, 1.10m, amateur, junior, II2d, jumpers, Over Fences (2)"
group_tags_links,multipleRecordLinks,fldWSEQUpxZi6Ecq3,relationship_link,link,58,0,43,no,relationship field; not a scalar truth value,reckq8gUh5wGAMovW|rec5xAjLqlB2TMAJ8|rec66RTwzbzyoeogh|recHFU1eqtxCkOQBj|rec6TurvonyitxCGb (2) | reckq8gUh5wGAMovW|rec39spNKkqkj0r5y|rec5xAjLqlB2TMAJ8|rec66RTwzbzyoeogh|recLDJnVwnTri7i4n|recHFU1eqtxCkOQBj|rec6TurvonyitxCGb (2)
schedule_endpoint,formula,fldEOHTxLlFSzlIdp,source_evidence,evidence,58,0,1,no,source/lookup evidence only,https://broad-tooth-b8ed.gombcg.workers.dev/schedule?date=2026-05-10&show_id=200000061&customer_id=15 (58)
schedule_empty_endpoint,formula,fldY699Ch4rAsgqFX,source_evidence,evidence,58,0,1,no,source/lookup evidence only,https://broad-tooth-b8ed.gombcg.workers.dev/schedule?date=00/00/00&show_id=200000061&customer_id=15 (58)
classes_endpointv2,formula,fldbNqscYFVpsVTE5,source_evidence,evidence,51,7,51,no,source/lookup evidence only,https://broad-tooth-b8ed.gombcg.workers.dev/classes/200025174/?show_id=200000061&customer_id=15 (1) | https://broad-tooth-b8ed.gombcg.workers.dev/classes/200025154/?show_id=200000061&customer_id=15 (1)
schedule_show_datev2,singleLineText,fldeRkrEU1se0DaYs,value_of_truth,date,58,0,1,no,keep as canonical PRO field,2026-05-10 (58)
schedule_show_display_datev2,singleLineText,fldkeSjHZmSj00jcG,inactive_duplicate_or_lookup,date,58,0,1,no,do not use as independent truth; compare to schedule_show_datev2,05/10/26 (58)
not_target,formula,fldpE8RKSRl4P9d74,derived_display_or_filter,derived,0,58,0,no,derived from other fields; not independent truth,
enrich_priors_endpoint,formula,fldVs5qJywBfkHIm0,source_evidence,evidence,0,58,0,no,source/lookup evidence only,
run_tag,singleLineText,fld916kUIYymytgTH,operational_control,operation,58,0,1,no,runner/control/audit field,2026-05-10 (58)
ringName_esp,formula,fld5DeZT1mIsZrkKY,derived_display_or_filter,derived,0,58,0,no,derived from other fields; not independent truth,
ring_nickname_esp,multipleLookupValues,fldhRaN980ZcM3Qv5,source_evidence,lookup,0,58,0,no,lookup evidence only,
ring_nickname2,multipleLookupValues,fldMpqWTb5upBlLIx,source_evidence,lookup,58,0,5,no,lookup evidence only,Hunter 1 (20) | Hunter 2 (13)
large_class_tag,formula,fldC8CHCUsKLX6pO6,derived_display_or_filter,derived,0,58,0,no,derived from other fields; not independent truth,
now,formula,fldIu3BnsAIhq9vzS,derived_display_or_filter,derived,58,0,1,no,derived from other fields; not independent truth,2026-05-11T16:53:31.564Z (58)
latestStatus,formula,fldjUV2455u42vVlW,inactive_duplicate_or_lookup,status,51,7,2,yes,do not use as independent truth; compare to status,Completed (48) | Upcoming (3)
status2,formula,fldvXZXScgCYbmh5B,derived_display_or_filter,derived,51,7,2,no,derived from other fields; not independent truth,Completed (48) | Upcoming (3)
latest_status,singleLineText,fld5hyJXH8iaiYvVP,inactive_duplicate_or_lookup,status,51,7,2,no,do not use as independent truth; compare to status,Completed (48) | Upcoming (3)
___latest_estimated_start_time,singleLineText,fld6fP2dsukwUcR8B,inactive_duplicate_or_lookup,start_time,51,7,35,no,do not use as independent truth; compare to estimated_start_time,07:45:00 (3) | 09:00:13 (2)
last_modified_time,lastModifiedTime,fldhWaXgKhO4KCxJu,operational_control,operation,58,0,3,no,runner/control/audit field,2026-05-11T16:51:22.000Z (49) | 2026-05-11T16:51:24.000Z (8)
start_display2,formula,fldFHmiHkjfRzWPLe,derived_display_or_filter,derived,58,0,37,no,rollup/display helper; not independent truth,7:45 AM (4) | 3:00 PM (4)
last_ingested_check,formula,fldBVOUC1bBwoEHDM,derived_display_or_filter,derived,58,0,1,no,derived from other fields; not independent truth,1 (58)
last_updated_at,singleLineText,fldQRtMidsRwSuZkv,operational_control,operation,58,0,2,no,runner/control/audit field,2026-05-11T03:55:23.835Z (32) | 2026-05-11T03:45:22.474Z (26)
is_gotcha,checkbox,fldQ3AEGmGa4xdCHv,blank_in_pro,blank,0,58,0,no,not populated in current PRO rows,
startKey,formula,fldi98Rtyb1WKftjN,derived_display_or_filter,derived,58,0,37,no,derived from other fields; not independent truth,7:45 AM (4) | 3:00 PM (4)
startKeyDT,formula,fldXyOllR4EjNR3qD,derived_display_or_filter,derived,58,0,42,no,derived from other fields; not independent truth,T07:45:00 (3) | T09:05:00 (2)
startKeyDTT,formula,fldkHb66b1x0f9NsM,derived_display_or_filter,derived,58,0,1,no,derived from other fields; not independent truth,"{""error"":""#ERROR""} (58)"
nowKeyDTT,formula,fld1QSmj0baiDr6Fv,derived_display_or_filter,derived,58,0,1,no,derived from other fields; not independent truth,2026-05-11T12:53:31.564Z (58)
secondsTill,formula,fldIH2XW4rrhwwuHG,derived_display_or_filter,derived,58,0,1,no,derived from other fields; not independent truth,"{""specialValue"":""NaN""} (58)"
30Till,formula,fldYQrsfzNLRjewcV,derived_display_or_filter,derived,0,58,0,no,derived from other fields; not independent truth,
classTrigger,singleLineText,fldhCQBqEdFLu33HN,blank_in_pro,blank,0,58,0,no,not populated in current PRO rows,
classActual,number,fldotmxxrhjHuQT3a,blank_in_pro,blank,0,58,0,no,not populated in current PRO rows,
latestStart,formula,fldzGhUx9bHnY3w68,inactive_duplicate_or_lookup,start_time,58,0,37,yes,do not use as independent truth; compare to estimated_start_time,7:45 AM (4) | 3:00 PM (4)
group_alert,rollup,fldZTSaUbHlHIq0nt,derived_display_or_filter,derived,15,43,15,no,rollup/display helper; not independent truth,King (2) (1) | Choco (9) (1)
nowTime,formula,fldGArT3of5i58TXr,derived_display_or_filter,derived,58,0,1,no,derived from other fields; not independent truth,12:53 PM (58)
latestStart24,formula,fldz6rFagzSdXa3SJ,derived_display_or_filter,derived,58,0,42,no,derived from other fields; not independent truth,07:45:00 (3) | 09:05:00 (2)
estimatedStart24,formula,fldHl6xRZYISRmeS9,derived_display_or_filter,derived,58,0,42,no,derived from other fields; not independent truth,07:45:00 (3) | 09:05:00 (2)
minsTill,formula,fldN3nWLcQQHlh254,derived_display_or_filter,derived,58,0,1,no,derived from other fields; not independent truth,"{""specialValue"":""NaN""} (58)"
entry_id (from watch_trips),multipleLookupValues,fld53pgNMHuWt5hsu,source_evidence,lookup,0,58,0,no,lookup evidence only,
entryID,formula,fldEtS3WnC5T09mOp,derived_display_or_filter,derived,0,58,0,no,derived from other fields; not independent truth,
conflict,checkbox,fldG8IU9Iw8WxgXtu,blank_in_pro,blank,0,58,0,no,not populated in current PRO rows,
clear,checkbox,fldnw04g67eaOQJI4,blank_in_pro,blank,0,58,0,no,not populated in current PRO rows,
epoch,formula,fld6iedy3agbXS4n8,derived_display_or_filter,derived,0,58,0,no,derived from other fields; not independent truth,
next_due_epoch,number,flduqJ0jQM0W4AxrR,blank_in_pro,blank,0,58,0,no,not populated in current PRO rows,
latestStatus_fallback,multipleLookupValues,fldbguNzvR4TAxhoD,source_evidence,lookup,14,44,1,no,lookup evidence only,Completed (14)
showsMode,formula,fldXHi32rE4NqwEs6,derived_display_or_filter,derived,0,58,0,no,derived from other fields; not independent truth,
expectFirst,formula,fldjR9uapCnzem4NR,derived_display_or_filter,derived,58,0,1,no,derived from other fields; not independent truth,"{""error"":""#ERROR""} (58)"
expectSecond,formula,fldgBQXYsWv6EOpdl,derived_display_or_filter,derived,58,0,1,no,derived from other fields; not independent truth,"{""error"":""#ERROR""} (58)"
defaultTimeTo (from ww_rings),multipleLookupValues,fld9VJvAsEWyM38eS,source_evidence,lookup,0,58,0,no,lookup evidence only,
ringWalk,formula,fldYocQ3eQaUuruhx,derived_display_or_filter,derived,0,58,0,no,derived from other fields; not independent truth,
latestStart (from watch_trips),multipleLookupValues,fldF5PZJ9wN4f6TD0,source_evidence,lookup,15,43,14,no,lookup evidence only,12:05 PM|12:05 PM (2) | 7:45 AM (1)
latest_estimated_start_time (from watch_trips),multipleLookupValues,fldfw1jXXYCycLAtU,source_evidence,lookup,15,43,14,no,lookup evidence only,12:05:09|12:05:09 (2) | 07:45:00 (1)
prev_estimated_start_time,singleLineText,fldMprg80HpbujDON,blank_in_pro,blank,0,58,0,no,not populated in current PRO rows,
___expected_sort,formula,fldZueP1C2ruNPRUt,derived_display_or_filter,derived,58,0,1,no,derived from other fields; not independent truth,"{""error"":""#ERROR!""} (58)"
oog_endpoint copy,formula,fldpNheF0boSFuCrZ,source_evidence,evidence,58,0,1,no,source/lookup evidence only,https://sglapi.wellingtoninternational.com/classsignup?show_date=2026-03-06&show_id=200000053&customer_id=15 (58)
order_of_go_endpoint,formula,fldOD89I2iAMsJExi,source_evidence,evidence,58,0,43,no,source/lookup evidence only,https://sglapi.wellingtoninternational.com/classsignup/200023881?eid=200023881&show_id=200000061&customer_id=15 (2) | https://sglapi.wellingtoninternational.com/classsignup/200023882?eid=200023882&show_id=200000061&customer_id=15 (2)
group_alert2,rollup,fldXadwiF32P2aQrY,derived_display_or_filter,derived,15,43,15,no,rollup/display helper; not independent truth,King (2) (1) | Choco (9) (1)
created_time,createdTime,fld6mEVJU7cLQCO0F,operational_control,operation,58,0,6,no,runner/control/audit field,2026-05-09T21:27:02.000Z (13) | 2026-05-09T21:27:03.000Z (11)
latest_estimated_start_time,singleLineText,fld2KVutbYqlEwqfe,inactive_duplicate_or_lookup,start_time,51,7,35,no,do not use as independent truth; compare to estimated_start_time,07:45:00 (3) | 09:00:13 (2)
active_classes,multipleRecordLinks,fldDgxp0Fnv8TAFG9,inactive_blank_legacy_link,legacy_link,0,58,0,no,blank in PRO; do not use for PRO decisions,
entry_oog,multipleRecordLinks,fldHkbJ1aGXNVJlng,relationship_link,link,0,58,0,no,relationship field; not a scalar truth value,
is_target (from watch_trips),multipleLookupValues,fldWs8WCAsOWT69fb,source_evidence,lookup,14,44,1,no,lookup evidence only,true (14)
is_classic,formula,fldPFaOthVrqUwZtO,derived_display_or_filter,derived,0,58,0,no,derived from other fields; not independent truth,
mode,formula,fldMMc1rzwinFfMS4,operational_control,operation,0,58,0,no,runner/control/audit field,
app_show_id,formula,fldaSppo7DZbjyTfI,inactive_duplicate_or_lookup,show,0,58,0,no,do not use as independent truth; compare to show_id,
epoch (from heartbeat),multipleLookupValues,fldlQrq6YQYLP3TBa,source_evidence,evidence,0,58,0,no,source/lookup evidence only,
shifted_to_next_day (from heartbeat),multipleLookupValues,fldEn4j5eoAf7I2Mv,source_evidence,evidence,0,58,0,no,source/lookup evidence only,
