field,type,field_id,status,group,populated,blank,unique,publisher_default,action,top_values
total_trips,number,fldRo2EWzBZRaHRZ6,value_of_truth,total,26,2,10,no,keep as canonical PRO field,7 (8) | 25 (3)
completed_trips,number,fld3WuNnMMQht1H89,value_of_truth,completed,26,2,10,yes,keep as canonical PRO field,7 (8) | 25 (3)
app_sql_datev2,singleLineText,fldIendQ0sN6xvJvg,active_publisher_field,publisher,28,0,1,yes,keep until publisher contract is changed,2026-05-10 (28)
show_datev2,formula,fldiqWP4ubcgaCkvY,inactive_duplicate_or_lookup,date,28,0,1,no,do not use as independent truth; compare to schedule_show_datev2,2026-05-10 (28)
check_v2,formula,fldboRxMV8xRytUI0,operational_control,operation,28,0,1,no,runner/control/audit field,true (28)
class_endpoint,formula,fldIrma8VAfsaDPYX,source_evidence,evidence,28,0,1,no,source/lookup evidence only,https://broad-tooth-b8ed.gombcg.workers.dev/classes/?show_id=200000061&customer_id=15 (28)
start_display,formula,fldV9G4RBEDGz5DMC,derived_display_or_filter,derived,28,0,13,no,derived from other fields; not independent truth,9:40 AM (4) | 10:20 AM (4)
entry_number,number,fldnaJ2xQrr3JLbcy,value_of_truth,entry,28,0,18,yes,keep as canonical PRO field,2 (4) | 3514 (3)
h_eid,number,fldr4pJcJEga0cWNJ,value_of_truth,entry_live,28,0,18,no,keep as canonical PRO field,2 (4) | 3514 (3)
now_ts_local,formula,fldvnc83E2kVTyBT5,operational_control,operation,28,0,1,no,runner/control/audit field,1778517811 (28)
horseName,formula,fldhOpxFUmdtQkhcD,derived_display_or_filter,derived,28,0,18,no,derived from other fields; not independent truth,Jason (4) | Fento (3)
dow_raw,singleLineText,fld4CF7nJH5mdfDgE,inactive_duplicate_or_lookup,dow,28,0,1,no,do not use as independent truth; compare to app_dow_rawv2,Sun (28)
app_sid,number,fldQCiJHWBGNgpdah,inactive_duplicate_or_lookup,show,28,0,1,no,do not use as independent truth; compare to app_show_idv2,200000061 (28)
app_show_mismatch,checkbox,fldTEsw4mb3xBAyyO,blank_in_pro,blank,0,28,0,no,not populated in current PRO rows,
app_dt,singleLineText,fldfpNvYe8c2mq2vA,inactive_duplicate_or_lookup,date,28,0,1,no,do not use as independent truth; compare to schedule_show_datev2,2026-05-10 (28)
hb_second_pass_at,dateTime,fldr2zf1lZNHzHYcr,operational_control,operation,28,0,13,no,runner/control/audit field,2026-05-10T14:15:25.147Z (4) | 2026-05-10T15:15:23.455Z (4)
hb_second_pass_reason,singleLineText,fldT2xdm2J0BOgqua,operational_control,operation,28,0,4,no,runner/control/audit field,ok:liveclassv2_matched (17) | ok:liveclassv2_matched|warn:missing_order_of_go (8)
hb_second_pass_done,checkbox,fldt2Byhyv7dITrOW,operational_control,operation,28,0,1,no,runner/control/audit field,true (28)
entry_oog_uid,formula,fldYx8z3GJBSnGb1O,derived_display_or_filter,derived,28,0,28,no,derived from other fields; not independent truth,723-2807 (1) | 775-2299 (1)
app_dows,multipleRecordLinks,fldjtrdranAFzcNKI,relationship_link,link,28,0,2,no,relationship field; not a scalar truth value,recKJ4wZbi2hoPJUk (26) | rec8pvRpyQWqZq1iL (2)
class_types,multipleRecordLinks,fldjDE8Jpjj3nRkGH,relationship_link,link,28,0,3,no,relationship field; not a scalar truth value,recoqzxmHIXuqCfjs (11) | recvjjM6bNgbUV5zX (9)
app_dow_raw (from heartbeat),multipleLookupValues,fld0OBGDp5114Jdgc,inactive_duplicate_or_lookup,dow,26,2,1,no,do not use as independent truth; compare to app_dow_rawv2,Sun (26)
shifted_to_next_day,checkbox,fldQlg4NzkmmMlCqD,blank_in_pro,blank,0,28,0,no,not populated in current PRO rows,
rs_running_order_of_go,number,fldTxSt62ioUThQmR,derived_calculator_output,calculator,0,28,0,no,derived/calculated value; use only for display or alerts,
rs_start_time,singleLineText,flddpYo7XyAmbUbGz,inactive_duplicate_or_lookup,start_time,28,0,14,no,do not use as independent truth; compare to estimated_start_time,09:40:00 (4) | 10:20:09 (4)
rs_status,singleLineText,fldNxHDe76W5znF7b,inactive_duplicate_or_lookup,status,26,2,1,no,do not use as independent truth; compare to status,Completed (26)
rs_go_time,singleLineText,fldFvMkX3fEl9n59b,inactive_duplicate_or_lookup,go_time,25,3,25,yes,do not use as independent truth; compare to estimated_go_time,7:48:00 (1) | 8:13:15 (1)
rs_completed_trips,number,fldRl6jnyU7wJ68ex,inactive_duplicate_or_lookup,completed,26,2,10,no,do not use as independent truth; compare to completed_trips,7 (8) | 25 (3)
rs_trip_default,duration,fldEqpmJJLP8snBwY,derived_calculator_output,calculator,28,0,1,no,derived/calculated value; use only for display or alerts,180 (28)
rs_trip_time,duration,fldsSX1fH5ExSJTDL,derived_calculator_output,calculator,28,0,6,no,derived/calculated value; use only for display or alerts,180 (19) | 218 (3)
rs_trip_time2,duration,fld6KTYTv5Xd2Eu7X,derived_calculator_output,calculator,28,0,6,no,derived/calculated value; use only for display or alerts,180 (19) | 218 (3)
rs_gone_in,number,fldSQqvlSdlnJfw1n,inactive_duplicate_or_lookup,gone_in,26,2,2,yes,do not use as independent truth; compare to gone_in,1 (24) | 0 (2)
rs_mins_till_start,number,fldxoa4Ne4t1gf0pt,derived_calculator_output,calculator,28,0,13,no,derived/calculated value; use only for display or alerts,-35 (4) | -54.85 (4)
rs_mins_since_start,number,fld7Z08vNdU7YDxtt,derived_calculator_output,calculator,28,0,13,no,derived/calculated value; use only for display or alerts,35 (4) | 54.85 (4)
rs_length,singleLineText,fldOmC08uQBzxe6i1,derived_calculator_output,calculator,26,2,11,no,derived/calculated value; use only for display or alerts,21 (8) | 141.8 (3)
rs_end_time,singleLineText,fldCA59RH2EUMIpHo,derived_calculator_output,calculator,26,2,13,no,derived/calculated value; use only for display or alerts,10:01:00 (4) | 10:41:09 (4)
rs_go_mins_from_start,number,fldxb5GvamCInU9ov,derived_calculator_output,calculator,25,3,20,no,derived/calculated value; use only for display or alerts,3 (3) | 0 (2)
rs_go_time_from_start,singleLineText,fldDFWACjiBABlViA,derived_calculator_output,calculator,25,3,25,no,derived/calculated value; use only for display or alerts,7:48:00 (1) | 8:13:15 (1)
rs_min_till_go,number,fld4wZhBlSIaRNXRe,derived_calculator_output,calculator,25,3,25,yes,derived/calculated value; use only for display or alerts,-69 (1) | -43.744925 (1)
inactive,checkbox,fld5SebMnszMmuiNH,blank_in_pro,blank,0,28,0,no,not populated in current PRO rows,
last_score,number,fldjUm7wb9E3ospsV,value_of_truth,last_score,0,28,0,yes,keep as canonical PRO field,
is_current,checkbox,fldq3UCEQVD9tqIP2,blank_in_pro,blank,0,28,0,no,not populated in current PRO rows,
record_id,formula,fld84pO0xzVoADd5z,derived_display_or_filter,derived,28,0,28,no,derived from other fields; not independent truth,rec82ypiIZNS9f4aq (1) | rec7BnYsc05XE9TNX (1)
show_id,number,fld9ytoBlbRPmHfGL,value_of_truth,show_row,28,0,1,no,keep as canonical PRO field,200000061 (28)
shows,multipleRecordLinks,fldJNUpCc1tG5f1Gj,relationship_link,link,28,0,1,no,relationship field; not a scalar truth value,recqX2PPTCVTx329X (28)
heartbeat,multipleRecordLinks,fldvqBSuRj4RPrXaH,relationship_link,link,26,2,12,no,relationship field; not a scalar truth value,rec2K6nRzgObKSqu0 (4) | recVKTefr6K7saNrT (4)
app_show_id,number,fldXng5wKC3NlsVUA,inactive_duplicate_or_lookup,show,28,0,1,no,do not use as independent truth; compare to app_show_idv2,200000061 (28)
mode,singleLineText,fldn3DGgU9gJ3BYz3,operational_control,operation,28,0,2,no,runner/control/audit field,DAY (26) | NIGHT (2)
not_current,checkbox,fld2yIflL05B7Nn72,blank_in_pro,blank,0,28,0,no,not populated in current PRO rows,
sid,formula,fld20h9O88OiMh9sV,derived_display_or_filter,derived,26,2,1,no,derived from other fields; not independent truth,200000061 (26)
date,singleLineText,fldy2tE6OhzeyM3Jv,inactive_duplicate_or_lookup,date,28,0,1,no,do not use as independent truth; compare to schedule_show_datev2,2026-05-10 (28)
dt,formula,fldjUT3CpoyrsGLfr,derived_display_or_filter,derived,26,2,1,no,derived from other fields; not independent truth,2026-05-10 (26)
schedule_show_datev2,date,fldfWWRVHf0ytIEx3,value_of_truth,date,28,0,1,yes,keep as canonical PRO field,2026-05-10 (28)
app_sql_date_mismatch,checkbox,fldQkxzAX1XMBoJVS,blank_in_pro,blank,0,28,0,no,not populated in current PRO rows,
ringWalk,formula,fldCr9FTD9A9ECUKO,derived_display_or_filter,derived,28,0,1,no,derived from other fields; not independent truth,0 (28)
defaultTimeTo (from ww_rings),multipleLookupValues,fldgajvJX7nhfqIkb,source_evidence,lookup,0,28,0,no,lookup evidence only,
grouped_class,checkbox,fldWYvD1UoZpSlqCH,blank_in_pro,blank,0,28,0,no,not populated in current PRO rows,
groups_live,multipleRecordLinks,fld1rcsX0M6Kkb74V,relationship_link,link,26,2,13,no,relationship field; not a scalar truth value,recyqE5X7FwKFKKhZ (4) | recL4HkWEuoc6v49b (4)
watch_groups,multipleRecordLinks,fldfedi3RLpD4jP1J,relationship_link,link,0,28,0,no,relationship field; not a scalar truth value,
class_groupxclasses_id,number,fldO6N67AdMbwF3zu,value_of_truth,class_groupxclasses,28,0,14,no,keep as canonical PRO field,200035742 (4) | 200035743 (4)
class_id,number,fldC9mbVlcDpMKrVq,value_of_truth,class,0,28,0,no,keep as canonical PRO field,
timeDiffMin,formula,fldtvtZVYJLMaVMYe,derived_display_or_filter,derived,28,0,4,no,derived from other fields; not independent truth,"0 (24) | {""error"":""#ERROR!""} (2)"
is_classic,formula,flduTt3NxO58UGIID,derived_display_or_filter,derived,0,28,0,no,derived from other fields; not independent truth,
lastPosition,number,fldqkVeWtBRklv9Ci,blank_in_pro,blank,0,28,0,no,not populated in current PRO rows,
lastGoneIn,number,fld0xvwVOKDxbtMsd,blank_in_pro,blank,0,28,0,no,not populated in current PRO rows,
lastPlace,number,fld7Wp2Ngq44lUBBQ,blank_in_pro,blank,0,28,0,no,not populated in current PRO rows,
___sqlDate,formula,fldeFVMqqtU4aT9k6,derived_display_or_filter,derived,26,2,1,no,derived from other fields; not independent truth,2026-05-10 (26)
scheduleApproved,formula,fldBQeLWDWnj4d6zM,derived_display_or_filter,derived,28,0,1,no,derived from other fields; not independent truth,1 (28)
watch_classes,multipleRecordLinks,fldLktuB3Pfij6Fez,relationship_link,link,0,28,0,no,relationship field; not a scalar truth value,
schedule_show_datev2 (from watch_schedule),multipleLookupValues,fldZ05pbvHAipSbBy,inactive_duplicate_or_lookup,date,28,0,1,no,do not use as independent truth; compare to schedule_show_datev2,2026-05-10 (28)
entry_id,number,fld21CYLxjQRN15Lu,active_publisher_field,publisher,0,28,0,yes,keep until publisher contract is changed,
watch_entries,multipleRecordLinks,fld7TeF7GdN6KS5UV,relationship_link,link,0,28,0,no,relationship field; not a scalar truth value,
ignore (from ww_horses),multipleLookupValues,fldlQDODAp5cAuvpd,source_evidence,lookup,0,28,0,no,lookup evidence only,
run_time,dateTime,fldMD7nPJYyzocbYZ,operational_control,operation,28,0,1,no,runner/control/audit field,2026-05-10T03:10:45.368Z (28)
trip_id,number,fldBvnlc4uTjygK1C,blank_in_pro,blank,0,28,0,no,not populated in current PRO rows,
___secondsTill2,formula,fldkqPIcFlKWGGs7X,derived_display_or_filter,derived,28,0,14,no,derived from other fields; not independent truth,97411 (4) | 95002 (4)
time_per_trip,singleLineText,fld5mn2PfA3yrD9eo,blank_in_pro,blank,0,28,0,no,not populated in current PRO rows,
estimated_go_time,singleLineText,fldVZ7KRr3nw0vSFO,value_of_truth,go_time,0,28,0,yes,keep as canonical PRO field,
ww_riders,multipleRecordLinks,fldtM7WtAWWhT7Pcj,relationship_link,link,0,28,0,no,relationship field; not a scalar truth value,
score2,number,fld4KxUY4R1wkWstm,blank_in_pro,blank,0,28,0,no,not populated in current PRO rows,
unscratched_count,number,fld1el9OoiAleslRp,blank_in_pro,blank,0,28,0,no,not populated in current PRO rows,
remaining_trips,number,fldmMFDXE6uBt1Kyt,blank_in_pro,blank,0,28,0,no,not populated in current PRO rows,
LiveClassData,formula,fldia3uBMGTwAKB33,derived_display_or_filter,derived,28,0,1,no,derived from other fields; not independent truth,https://sgl.wellingtoninternational.com/LiveClassData/15/200000061/.json?1768427630661 (28)
getLiveClassStatus,formula,fldBtDynOh9t0LHnt,derived_display_or_filter,derived,28,0,1,no,derived from other fields; not independent truth,https://sglapi.wellingtoninternational.com/homepage/getLiveClassStatus?customer_id=15 (28)
class_endpoint_plus_group,formula,fldTbvBBcSvB79QpI,source_evidence,evidence,28,0,14,no,source/lookup evidence only,https://broad-tooth-b8ed.gombcg.workers.dev/classes/?show_id=200000061&customer_id=15&cgid=200023887 (4) | https://broad-tooth-b8ed.gombcg.workers.dev/classes/?show_id=200000061&customer_id=15&cgid=200023888 (4)
gKey,formula,fldBMZejlLeB0c6Kn,derived_display_or_filter,derived,28,0,28,no,derived from other fields; not independent truth,200023880-f4aq (1) | 200023878-9TNX (1)
YYYYMMDD,formula,fldKj1TFzi4ZKOMDn,derived_display_or_filter,derived,28,0,1,no,derived from other fields; not independent truth,20260510 (28)
last_run_at,dateTime,fldmmBKKtMMl3mrah,blank_in_pro,blank,0,28,0,no,not populated in current PRO rows,
barn_name_lookup,multipleLookupValues,fldwo1PpkN3K4mhug,source_evidence,lookup,28,0,18,no,lookup evidence only,Jason (4) | Fento (3)
created_time,createdTime,fldeWG3BXKyp1pSXT,operational_control,operation,28,0,3,no,runner/control/audit field,2026-05-09T23:22:57.000Z (10) | 2026-05-09T23:22:59.000Z (10)
latest_estimated_start_time,singleLineText,fldE6MNlOk0rb7Cll,inactive_duplicate_or_lookup,start_time,28,0,14,no,do not use as independent truth; compare to estimated_start_time,09:40:00 (4) | 10:20:09 (4)
latest_status,singleLineText,fldM79pMdmfaPExMR,inactive_duplicate_or_lookup,status,26,2,1,no,do not use as independent truth; compare to status,Completed (26)
latest_ingested_at,singleLineText,fldpvNRX7zItRaXvL,operational_control,operation,28,0,2,no,runner/control/audit field,2026-05-11T03:55:25.927Z (26) | 2026-05-10T03:10:45.368Z (2)
___completed_done,checkbox,fldUUXjgp5DUhW7t3,blank_in_pro,blank,0,28,0,no,not populated in current PRO rows,
startTimeChange,formula,fldJV5kly0NkU54Dt,derived_display_or_filter,derived,28,0,2,no,derived from other fields; not independent truth,1 (26) | 2 (2)
start_display2,formula,fldUfJoDfaNxHWFrY,derived_display_or_filter,derived,28,0,13,no,derived from other fields; not independent truth,9:40 AM (4) | 10:20 AM (4)
ring_nickname_lookup,multipleLookupValues,fldjZC3hifAKLje9M,source_evidence,lookup,28,0,5,no,lookup evidence only,Village (11) | Derby (5)
show_days_report_title,formula,fldWV4ov2pTvYvt1f,derived_display_or_filter,derived,28,0,1,no,derived from other fields; not independent truth,Schedule (28)
barnName,formula,fldjbTPVJQCik78vz,derived_display_or_filter,derived,28,0,18,no,derived from other fields; not independent truth,Jason (4) | Fento (3)
team_name_lookup,multipleLookupValues,fld6VUmHvQmraPcl6,source_evidence,lookup,0,28,0,no,lookup evidence only,
teamName,formula,fld3Cph3u8BeoLOzI,derived_display_or_filter,derived,0,28,0,no,derived from other fields; not independent truth,
is_missing,checkbox,flduWYYgvrcU941Vf,blank_in_pro,blank,0,28,0,no,not populated in current PRO rows,
ringName,formula,fldpWsf1Dmuwma87F,derived_display_or_filter,derived,28,0,5,no,derived from other fields; not independent truth,Village (11) | Derby (5)
estimated_start_time_display,formula,fld4Pt2AJKgBzIFD5,derived_display_or_filter,derived,28,0,13,no,derived from other fields; not independent truth,9:40 AM (4) | 10:20 AM (4)
latest_estimated_start_time_display,formula,fldhcjDsdmkxxPjZN,derived_display_or_filter,derived,28,0,13,no,derived from other fields; not independent truth,9:40 AM (4) | 10:20 AM (4)
latest_estimated_go_time,singleLineText,fldtyOhhfEpjCpamc,inactive_duplicate_or_lookup,go_time,0,28,0,no,do not use as independent truth; compare to estimated_go_time,
latest_estimated_go_time_display,formula,fldyRdeT6GmMmxx3a,derived_display_or_filter,derived,28,0,13,no,derived from other fields; not independent truth,9:40 AM (4) | 10:20 AM (4)
___path_gpt,formula,fld9PFBB9XVijpzCo,derived_display_or_filter,derived,28,0,1,no,derived from other fields; not independent truth,docs/schedule/data/latest/ (28)
oog_rule,formula,fldqBJzNR6S96Yidg,derived_display_or_filter,derived,28,0,1,no,derived from other fields; not independent truth,1 (28)
latest_oog_display,formula,fldjLyKd038Ibcg13,derived_display_or_filter,derived,0,28,0,no,derived from other fields; not independent truth,
est_start_change,checkbox,fld68El8l4NFAkMn1,blank_in_pro,blank,0,28,0,no,not populated in current PRO rows,
est_start_change_done,checkbox,fldByfGLkd1tn4Seg,blank_in_pro,blank,0,28,0,no,not populated in current PRO rows,
timeDiff,formula,fld91iaal12v3DuFp,derived_display_or_filter,derived,28,0,4,no,derived from other fields; not independent truth,"0 (24) | {""specialValue"":""NaN""} (2)"
backNumber,formula,fld4B78j8MKfzGYTu,derived_display_or_filter,derived,0,28,0,no,derived from other fields; not independent truth,
entry_number (from watch_entries),multipleLookupValues,fldnlF6SvMvJiEALJ,source_evidence,lookup,0,28,0,no,lookup evidence only,
triggerStartAlert,formula,fldi18dG1qnZK8SP8,derived_display_or_filter,derived,28,0,1,no,derived from other fields; not independent truth,false (28)
timeDiff2,formula,fldWbC0bsAr6CviIE,derived_display_or_filter,derived,28,0,13,no,derived from other fields; not independent truth,1863 (4) | 1823 (4)
startKey,formula,fld7h2KEVeKSaakJa,derived_display_or_filter,derived,28,0,13,no,derived from other fields; not independent truth,9:40 AM (4) | 10:20 AM (4)
startKeyDT,formula,fldVNRrlrWzD6TFgr,derived_display_or_filter,derived,28,0,14,no,derived from other fields; not independent truth,2026-05-10T09:40:00 (4) | 2026-05-10T10:20:09 (4)
nowKeyDT,formula,fldjN7Bu8z2MKMlQL,derived_display_or_filter,derived,28,0,1,no,derived from other fields; not independent truth,2026-05-11T12:43:31.579Z (28)
startKeyDTT,formula,fldT3DlEPBxESMBh4,derived_display_or_filter,derived,28,0,14,no,derived from other fields; not independent truth,2026-05-10T09:40:00.000Z (4) | 2026-05-10T10:20:09.000Z (4)
secondsTill,formula,fldWWJ9UAq3RwITjS,derived_display_or_filter,derived,28,0,14,no,derived from other fields; not independent truth,-97411 (4) | -95002 (4)
___latest_status_display,formula,fldVfyFzkgvqo7yti,derived_display_or_filter,derived,26,2,1,no,derived from other fields; not independent truth,Completed (26)
go_time_rule,formula,fldqjWT2AJnmjY7YZ,derived_display_or_filter,derived,28,0,1,no,derived from other fields; not independent truth,1 (28)
latest_calendaStart,formula,fldj693tBIzBOKmpv,derived_display_or_filter,derived,26,2,13,no,derived from other fields; not independent truth,2026-05-10T09:40:00.000Z (4) | 2026-05-10T10:20:09.000Z (4)
latest_calendarEnd,formula,fld8uCPUe6EyMja30,derived_display_or_filter,derived,26,2,13,no,derived from other fields; not independent truth,2026-05-10T09:50:00.000Z (4) | 2026-05-10T10:30:09.000Z (4)
latestStart,formula,fldkeNgfhO9Bd1pe6,derived_display_or_filter,derived,28,0,13,no,derived from other fields; not independent truth,9:40 AM (4) | 10:20 AM (4)
latestGO,formula,fld5tj5tzYIxn48Q7,derived_display_or_filter,derived,28,0,26,no,derived from other fields; not independent truth,8:40 AM (2) | 10:38 AM (2)
latestStatus,formula,fldOoxRJVFzGJvJFc,inactive_duplicate_or_lookup,status,26,2,1,yes,do not use as independent truth; compare to status,Completed (26)
latest_calendarBucket,formula,flddvkpSdNVvoUDjn,derived_display_or_filter,derived,28,0,9,no,derived from other fields; not independent truth,2026-05-10 09:30 (9) | 2026-05-10 07:30 (4)
last_status,singleLineText,fldW6eemuaV0A0pMZ,blank_in_pro,blank,0,28,0,no,not populated in current PRO rows,
last_estimated_time,singleLineText,fldVLQVjmrThAOJhl,blank_in_pro,blank,0,28,0,no,not populated in current PRO rows,
last_actual_time,singleLineText,fldCZUapjsbzcYd6N,blank_in_pro,blank,0,28,0,no,not populated in current PRO rows,
last_estimated_go_time,singleLineText,fldp8ynlZqKbl7mYW,blank_in_pro,blank,0,28,0,no,not populated in current PRO rows,
last_order_of_go,number,fldJMrb8dnKWCOiWM,blank_in_pro,blank,0,28,0,no,not populated in current PRO rows,
last_placing,number,fldmFRAXgxn0MfY04,blank_in_pro,blank,0,28,0,no,not populated in current PRO rows,
lastOOG,formula,fldDNOBZA0nCo6E4c,derived_display_or_filter,derived,25,3,16,no,derived from other fields; not independent truth,2 (3) | 6 (3)
lastPlacing,formula,fldiVgTWKqT7mzPYG,derived_display_or_filter,derived,0,28,0,no,derived from other fields; not independent truth,
